timestamp,robot1_x,robot1_y,robot1_z,robot2_x,robot2_y,robot2_z,robot3_x,robot3_y,robot3_z
1777154626.2662332,-2.19999194914766,-1.6999989777667956,6.950003275852251,2.9722062431724607,-0.5707851884365034,3.685918411826356,3.0,2.0,2.0
1777154626.7663627,-2.19999194914766,-1.6999989777667956,6.450003275852253,2.9722062431724607,-0.5707851884365034,3.685918411826356,3.0,2.0,2.0
1777154627.2659912,-2.19999194914766,-1.6999989777667956,5.9500032758522545,2.9722062431724607,-0.5707851884365034,3.685918411826356,3.0,2.0,2.0
1777154627.7659578,-2.19999194914766,-1.6999989777667956,5.450003275852256,3.0164577703527344,-0.5751815899286314,3.769866106113164,3.0,2.0,2.0
1777154628.2662182,-2.19999194914766,-1.6999989777667956,4.950003275852258,3.050872482140913,-0.5924418258700808,4.137017098532177,3.0,2.0,2.0
1777154628.7661943,-2.19999194914766,-1.6999989777667956,4.45000327585226,2.9496877651087425,-0.6129689179255104,4.597577545553334,3.0,2.0,2.0
1777154629.2662487,-2.1499868124378008,-1.649997412201958,4.1000543179757925,2.775504973285636,-0.6863550166216308,4.921103357404639,3.0,2.0,2.0
1777154629.7665508,-2.1060898899715035,-1.4968909237967425,4.202698898060655,2.5371862993806076,-0.8411766839395072,5.171103359799903,3.0,2.0,2.0
1777154630.2666562,-2.1560898899727485,-1.4468909237966894,3.902698898062627,2.4701231319970054,-0.8928463277134231,5.314541265502052,3.0,2.0,2.0
1777154630.766336,-2.2310898899754195,-1.321890923795432,3.777698898156853,2.249383005319543,-1.0431633224481534,5.633650025653593,3.0,2.0,2.0
1777154631.2667532,-2.133419884593608,-1.220623521510836,3.7035326234304358,2.039285743730428,-1.142451380300526,5.809453617935275,3.0,2.0,2.0
1777154631.7660494,-2.133419884593608,-1.220623521510836,3.7035326234304358,1.852705877145605,-1.1788455189816682,6.20145456814084,3.0,2.0,2.0
1777154632.2660885,-2.133419884593608,-1.220623521510836,3.7035326234304358,1.843100172121588,-1.1766612519120385,6.295940799795111,3.0,2.0,2.0
1777154632.7663188,-2.133419884593608,-1.220623521510836,3.7035326234304358,1.843100172121588,-1.1766612519120385,6.295940799795111,3.0,2.0,2.0
1777154633.2660162,-2.133419884593608,-1.220623521510836,3.7035326234304358,1.843100172121588,-1.1766612519120385,6.295940799795111,3.0,2.0,2.0
1777154633.7660933,-2.133419884593608,-1.220623521510836,3.7035326234304358,1.843100172121588,-1.1766612519120385,6.295940799795111,3.0,2.0,2.0
1777154634.267872,-2.133419884593608,-1.220623521510836,3.7035326234304358,1.843100172121588,-1.1766612519120385,6.295940799795111,3.0,2.0,2.0
1777154634.7664297,-2.133419884593608,-1.220623521510836,3.7035326234304358,1.843100172121588,-1.1766612519120385,6.295940799795111,3.0,2.0,2.0
1777154635.266388,-2.133419884593608,-1.220623521510836,3.7035326234304358,1.843100172121588,-1.1766612519120385,6.295940799795111,3.0,2.0,2.0
1777154635.766061,-2.133419884593608,-1.220623521510836,3.7035326234304358,1.843100172121588,-1.1766612519120385,6.295940799795111,3.0,2.0,2.0
